rank,isbn13,8세_대출,중심도,집중도,점수,제목,저자,출판사,출판년,추천연령,최다선택나이,분포,그림책,총대출
36,9788934975311,7212,0.929,1.482,6701.0,이게 정말 천국일까? ,요시타케 신스케 글·그림 ;고향옥 옮김,김영사,2016,5~9세,9,더 어린 아이부터 봄,True,28645
37,9791160940619,9074,0.731,3.0,6630.3,언제나 칭찬 :류호선 동화 ,지은이: 류호선 ;그린이: 박정섭,사계절,2017,5~8세,8,더 어린 아이부터 봄,False,16700
38,9791195588602,7781,0.85,2.591,6612.5,42가지 마음의 색깔 ,"지은이: 크리스티나 누녜스 페레이라,옮긴이: 남진희",북파크,2015,4~9세,8,대칭,True,18061
39,9791164135738,7349,0.878,1.272,6452.6,에그박사 :Egg&bugs,원작: 에그박사 ;그림: 홍종현,미래엔,2020,7~11세,9,대칭,True,34366
40,9788949161969,9564,0.67,1.23,6405.1,(한밤중) 달빛 식당 ,이분희 글 ;윤태규 그림,비룡소,2018,8~11세,9,더 큰 아이 쪽으로 넓음,False,42158
41,9791164136438,7398,0.865,1.272,6401.5,에그박사 :Egg&bugs,원작: 에그박사 ;그림: 홍종현,미래엔,2020,7~11세,9,대칭,True,34239
42,9791164138197,11098,0.575,1.257,6386.7,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,8~11세,9,더 큰 아이 쪽으로 넓음,True,49872
43,9788952773104,9447,0.665,1.011,6281.3,13층 나무 집 ,앤디 그리피스 글 ;신수진 옮김,시공사,2015,8~12세,9,더 큰 아이 쪽으로 넓음,False,48699
44,9788936447861,9475,0.662,1.278,6273.7,고양이 해결사 깜냥,홍민정 동화 ;김재희 그림,창비,2020,8~11세,9,더 큰 아이 쪽으로 넓음,False,42388
45,9791158681258,8177,0.764,1.473,6246.6,(읽으면서 바로 써먹는) 어린이 속담 ,글·그림: 한날,파란정원,2017,7~11세,9,대칭,False,32880
46,9791164136032,10359,0.6,1.29,6218.3,흔한남매의 흔한 호기심 :일상에서 만나는 과학 상식,원작: 흔한남매 ;그림: 유난희,미래엔,2020,8~11세,9,더 큰 아이 쪽으로 넓음,True,45675
47,9791164137435,7097,0.874,1.267,6206.2,에그박사 :Egg&bugs,원작: 에그박사 ;그림: 홍종현,미래엔,2020,7~11세,9,대칭,True,32905
48,9788934995357,6599,0.927,1.424,6119.4,그것만 있을 리가 없잖아 ,요시타케 신스케 글·그림 ;고향옥 옮김,김영사,2019,5~9세,9,더 어린 아이부터 봄,True,27541
49,9788949161945,7619,0.799,1.415,6091.0,변신돼지 ,박주혜 글 ;이갑규 그림,비룡소,2017,7~11세,9,대칭,False,30629
50,9791196025809,11170,0.544,0.947,6079.0,설민석의 한국사 대모험,"글: 설민석,그림: 정현희",휴먼큐브,2017,9~12세,11,더 어린 아이부터 봄,False,60137
51,9788935652792,8988,0.666,1.278,5985.1,마법의 설탕 두 조각,미카엘 엔데 글;유혜자 옮김,한길사,2001,8~11세,9,대칭,False,38059
52,9791164137121,10012,0.591,1.269,5916.9,흔한남매의 흔한 호기심 :일상에서 만나는 과학 상식,원작: 흔한남매 ;그림: 유난희,미래엔,2020,8~11세,9,더 큰 아이 쪽으로 넓음,True,44594
53,9791196025861,11047,0.535,0.989,5915.2,설민석의 한국사 대모험,"글: 설민석,그림: 정현희",휴먼큐브,2017,9~12세,9,더 큰 아이 쪽으로 넓음,False,57597
54,9791164138425,6906,0.852,1.314,5881.3,에그박사 :Egg&bugs,원작: 에그박사 ;그림: 홍종현,미래엔,2020,7~11세,9,대칭,True,31151
55,9788986565522,8365,0.702,1.418,5874.5,짜장 짬뽕 탕수육,김영주 글;고경숙 그림,재미마주,2002,8~11세,9,대칭,False,33527
56,9788934989257,8373,0.691,1.328,5789.1,흔한남매 과학 탐험대,원작: 흔한남매 ;임혜영,김영사,2021,8~11세,9,대칭,True,36492
57,9791159950179,8614,0.669,3.0,5760.0,(초등학생을 위한) 욕심쟁이 딸기 아저씨 :특별판 ,글·그림: 김유경 ;Hannah Chung,노란돼지,2017,5~8세,8,더 어린 아이부터 봄,True,19334
58,9788934968726,7145,0.805,1.336,5751.8,이게 정말 사과일까? ,요시타게 신스케 글·그림 ;고향옥 옮김,김영사,2014,5~9세,9,더 어린 아이부터 봄,True,30766
59,9788950976118,9129,0.63,1.247,5751.4,Go go 카카오프렌즈 :세계 역사 문화 체험 학습만화,글: 김미영 ;정보글: 최은하,아울북(북이십일 아울북),2018,8~11세,9,더 큰 아이 쪽으로 넓음,False,41147
60,9788990103208,7395,0.772,1.573,5709.4,(만화로 보는)그리스 로마 신화,토머스 불핀치 지음;홍은영 그림,가나출판사,,7~11세,9,대칭,False,27502
61,9788959774944,6742,0.844,1.609,5688.5,엄마 몰래 ,조성자 글 ;김준영 그림,좋은책 좋은책어린이,2008,7~10세,9,대칭,False,25040
