rank,isbn13,13세_대출,중심도,집중도,점수,제목,저자,출판사,출판년,추천연령,최다선택나이,분포,그림책,총대출
61,9788936443030,1367,0.218,2.835,298.1,우주로 가는 계단 :전수경 장편동화 ,지은이: 전수경 ;엮은이: 소윤경,창비,2019,10~12세,12,더 어린 아이부터 봄,False,18635
62,9788972976189,1367,0.274,3.0,374.5,초등학생을 위한 나의 라임 오렌지나무 (초등용),J. M. 데 바스콘셀로스,동녘주니어,2010,11~13세,12,더 어린 아이부터 봄,True,13812
63,9788972787044,1361,0.237,3.0,322.1,무기 팔지 마세요!,위기철 지음;이희재 그림,청년사,2002,11~12세,11,더 큰 아이 쪽으로 넓음,False,15208
64,9788960243781,1359,0.2,2.602,272.0,(빈대 가족의) 냉장고를 부탁해 :대한민국 공식 짠돌이 빈대 가족에게 배우는 경제 지혜 ,글: 스토리박스 ;그림: 류수형,재미북스,2015,10~12세,13,더 어린 아이부터 봄,True,23664
65,9788937839627,1358,0.224,2.912,304.2,조선 시대 보물찾기,글: 곰돌이 co. ;그림: 강경효,미래엔,,10~12세,13,더 어린 아이부터 봄,True,20207
66,9788949124421,1356,0.212,2.759,287.8,건방이의 초강력 수련기 :season 2,천효정 글 ;이정태 그림,비룡소,2020,10~12세,12,더 어린 아이부터 봄,False,20866
67,9788937848285,1354,0.238,3.0,321.7,이탈리아에서 보물찾기,글: 곰돌이 co. ;그림: 강경효,미래엔,2011,10~12세,13,더 어린 아이부터 봄,True,18932
68,9791164134021,1341,0.236,3.0,317.0,윔피 키드,제프 키니 글·그림 ;신인수 옮김,미래엔,2016,10~12세,13,더 어린 아이부터 봄,False,17863
69,9788937837524,1331,0.216,2.804,287.1,일제 강점기 보물찾기,글: 곰돌이 co. ;그림: 강경효,미래엔,2016,10~12세,13,더 어린 아이부터 봄,True,20586
70,9788937839900,1313,0.232,3.0,304.1,일제 강점기 보물찾기,글: 곰돌이 co. ;그림: 강경효,미래엔,2016,10~12세,13,더 어린 아이부터 봄,True,18452
71,9788936449032,1296,0.447,3.0,579.2,홍길동전 ,정종목 글 ;이광익 그림,창비,2003,11~13세,13,더 어린 아이부터 봄,False,6624
72,9788937839597,1292,0.221,2.879,286.1,조선 시대 보물찾기,글: 곰돌이 co. ;그림: 강경효,미래엔,,10~12세,13,더 어린 아이부터 봄,True,19683
73,9788937848278,1290,0.226,2.932,291.0,이탈리아에서 보물찾기,글: 곰돌이 co. ;그림: 강경효,미래엔,2011,10~12세,13,더 어린 아이부터 봄,True,19215
74,9788937839610,1288,0.225,2.931,290.4,조선 시대 보물찾기,글: 곰돌이 co. ;그림: 강경효,미래엔,,10~12세,13,더 어린 아이부터 봄,True,18869
75,9791187777014,1280,0.23,2.987,294.1,암호클럽,글: 페니 워너 ;윤영,가람어린이,2016,10~12세,12,더 어린 아이부터 봄,False,16752
76,9788957367117,1276,0.218,2.84,278.8,어린이 과학 형사대 CSI,글: 고희정 ;그림: 서용남,가나문화콘텐츠,,10~12세,13,더 어린 아이부터 봄,False,18870
77,9788925543239,1274,0.309,3.0,394.0,소년 셜록 홈즈,앤드루 레인 글 ;김경희 옮김,랜덤하우스코리아,2011,11~13세,13,더 어린 아이부터 봄,False,11003
78,9788949124438,1269,0.225,2.931,286.2,건방이의 초강력 수련기 :season 2,천효정 글 ;이정태 그림,비룡소,2020,10~12세,13,더 어린 아이부터 봄,False,17459
79,9788954617895,1265,0.318,3.0,402.0,몬스터 바이러스 도시 ,최양선 글 ;정지혜 그림,문학동네,2012,11~13세,12,대칭,False,8645
80,9788965481645,1263,0.252,3.0,318.2,구스범스,R. L. 스타인 지음 ;신인수 옮김,고릴라박스,2014,10~13세,13,더 어린 아이부터 봄,False,15371
81,9788993055023,1257,0.222,2.885,279.0,윔피 키드 :그레그 헤플리의 카툰 일기 ,"글, 그림: 제프 키니 ;옮긴이: 양진성",푸른날개,2008,10~12세,13,더 어린 아이부터 봄,False,19224
82,9788957367414,1251,0.214,2.779,267.5,어린이 과학 형사대 CSI,글: 고희정 ;그림: 서용남,가나문화콘텐츠,,10~12세,12,더 어린 아이부터 봄,False,18958
83,9788932022994,1236,0.373,3.0,461.3,황금 깃털 ,정설아 지음 ;소윤경 그림,문학과지성사,2012,11~13세,13,더 어린 아이부터 봄,False,6863
84,9788954634748,1231,0.216,2.809,266.0,노잣돈 갚기 프로젝트 ,김진희 글 ;손지희 그림,문학동네,2015,11~12세,12,더 어린 아이부터 봄,False,15613
85,9788993055030,1228,0.206,2.678,253.0,윔피 키드,"글, 그림: 제프 키니 ;양진성",푸른날개,,10~12세,13,더 어린 아이부터 봄,False,20191
86,9788957367483,1227,0.205,2.668,251.8,어린이 과학 형사대 CSI,글: 고희정 ;그림: 서용남,가나문화콘텐츠,,10~12세,12,더 어린 아이부터 봄,False,19919
87,9788965481652,1224,0.249,3.0,305.3,구스범스,R. L. 스타인 지음 ;신인수 옮김,고릴라박스,2014,10~12세,13,더 어린 아이부터 봄,False,14891
88,9791187777069,1212,0.239,3.0,289.4,암호클럽,글: 페니 워너 ;윤영,가람어린이,2016,10~12세,12,더 어린 아이부터 봄,False,15195
89,9788993900538,1200,0.251,3.0,301.4,뱀파이어 시스터 =The vampire sister,시에나 머서 지음 ;김시경 옮김,가람어린이,2014,10~13세,12,더 어린 아이부터 봄,False,13733
90,9791191496055,1197,0.2,2.6,239.4,설민석의 세계사 대모험,"글: 설민석,그림: 박성일",단꿈아이,2019,9~12세,13,더 어린 아이부터 봄,True,21435
91,9788937857942,1178,0.219,2.847,258.0,오사카에서 보물찾기 ,글: 곰돌이 co. ;그림: 강경효,미래엔,2017,10~12세,13,더 어린 아이부터 봄,True,18270
92,9791164064410,1178,0.2,2.6,235.6,(이상한 과자 가게) 전천당,히로시마 레이코 글 ;김정화 옮김,길벗스쿨,2019,10~12세,12,더 어린 아이부터 봄,False,20207
93,9791164064748,1158,0.223,2.904,258.7,(이상한 과자 가게) 전천당,히로시마 레이코 글 ;김정화 옮김,길벗스쿨,2019,10~12세,13,더 어린 아이부터 봄,False,17143
94,9788937899041,1148,0.219,2.851,251.8,고려 시대 보물찾기,글: 곰돌이 co. ;그림: 강경효,미래엔,2014,10~12세,13,더 어린 아이부터 봄,True,17598
95,9788949124445,1146,0.228,2.961,261.0,건방이의 초강력 수련기 :season 2,천효정 글 ;이정태 그림,비룡소,2020,10~12세,12,더 어린 아이부터 봄,False,15367
96,9791164065530,1140,0.241,3.0,274.4,(이상한 과자 가게) 전천당,히로시마 레이코 글 ;김정화 옮김,길벗스쿨,2019,10~12세,13,더 어린 아이부터 봄,False,15039
97,9788960863408,1132,0.283,3.0,320.0,(꿈을 요리하는) 마법 카페 ,글: 김수영 ;그림: 조혜승,위즈덤하우스,2017,11~13세,13,더 어린 아이부터 봄,False,11165
98,9788965483717,1131,0.25,3.0,283.0,미카엘라 :달빛 드레스 도난 사건 ,박에스더 글 ;이경희 그림,고릴라박스,2017,11~13세,12,더 어린 아이부터 봄,False,12377
99,9788968305726,1129,0.213,2.769,240.5,사춘기 대 갱년기 ,제성은 글 ;이승연 그림,개암나무,2020,11~12세,12,더 어린 아이부터 봄,False,15280
100,9788965463108,1126,0.271,3.0,305.4,"안녕, 우주 ",글: 에린 엔트라다 켈리 ;옮김: 이원경,밝은미래,2018,10~13세,12,더 어린 아이부터 봄,False,11759
